,D-A,D-K,IQ-A,IQ-O,IQ-R,R-B,R-T,TA-C,TA-R,TA-S
D-A,0.597,-1,-1,-1,2,-1,-1,2,-1,-1
D-K,[0.529-0.577],0.560,-1,-1,-1,-1,3,-1,-1,-1
IQ-A,[0.757-0.567],[0.748-0.599],0.734,0,-1,-2,3,0,-1,2
IQ-O,[0.769-0.567],[0.791-0.571],[0.833-0.828],0.755,0,-2,3,0,0,-1
IQ-R,[0.671-0.567],[0.662-0.598],[0.752-0.773],[0.771-0.833],0.690,-1,3,-2,-1,-1
R-B,NULL,[0.709-0.637],[0.760-0.802],[0.724-0.832],[0.760-0.789],0.736,-1,2,2,-1
R-T,NULL,[0.305-0.292],[0.305-0.379],[0.305-0.373],[0.305-0.352],NULL,0.312,3,3,3
TA-C,[0.598-0.567],[0.677-0.598],[0.791-0.773],[0.739-0.833],[0.791-0.755],[0.797-0.760],[0.310-0.305],0.705,0,-1
TA-R,[0.721-0.661],[0.753-0.678],[0.755-0.757],[0.726-0.822],[0.755-0.737],[0.833-0.778],[0.333-0.305],[0.755-0.771],0.715,-1
TA-S,[0.701-0.671],[0.588-0.553],[0.677-0.744],[0.603-0.737],[0.677-0.653],[0.626-0.663],[0.445-0.357],[0.677-0.709],[0.686-0.741],0.641
